Applicant,BLA Number,Proprietary Name,Proper Name,BLA Type,Strength,Dosage Form,Route of Administration,Product Presentation,Marketing Status,Licensure,Ref. Product Proper Name,Supplement Number,Submission Type,License Number,Product Number,Center,Orphan Exclusivity Exp. Date,Approval_Status,Approval_Status_binary
Grifols Therapeutics LLC,101146.0,Other,Other,351(a),220,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed, ,0,Original,7.534762657037537,3.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101146.0,Other,Other,351(a),220,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,4.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101146.0,Other,Other,351(a),220,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,5.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101147.0,Other,Immune Globulin Intravenous (Human),351(a),5,Injection,Intravenous,Vial,Disc,Voluntarily Revoked, ,0,Original,7.534762657037537,1.0,CBER,24-Mar-02,Rejected or Not Approved,0
Grifols Therapeutics LLC,101147.0,Other,Immune Globulin Intravenous (Human),351(a),10,Injection,Intravenous,Vial,Disc,Voluntarily Revoked, ,0,Original,7.534762657037537,2.0,CBER,24-Mar-02,Rejected or Not Approved,0
Other,101246.0,Other,Other,351(a),350,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,5350,Supplement,7.549609165154532,1.0,CBER,Other,Approved,1
Other,101322.0,Other,Other,351(a),0,Injection,Intramuscular,Single-Dose Vial,Disc,Licensed, ,0,Original,7.484368643286131,1.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101377.0,Aranesp,"Insects (Whole Body), Mite Dermatophagoides farinae",351(a),10,Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,1.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101377.0,Aranesp,"Insects (Whole Body), Mite Dermatophagoides farinae",351(a),10,Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,2.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101378.0,Aranesp,"Insects (Whole Body), Mite Dermatophagoides pteronyssinus",351(a),10,Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,1.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101378.0,Aranesp,"Insects (Whole Body), Mite Dermatophagoides pteronyssinus",351(a),10,Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,2.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101379.0,Aranesp,"Pollens - Grasses, Bermuda Grass Cynodon dactylon",351(a),10,Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,1.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101379.0,Aranesp,"Pollens - Grasses, Bermuda Grass Cynodon dactylon",351(a),10,Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,2.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101380.0,Aranesp,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",351(a),10,Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,1.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101380.0,Aranesp,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",351(a),10,Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,2.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101380.0,Aranesp,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",351(a),100,Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,3.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101380.0,Aranesp,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",351(a),100,Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,4.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101381.0,Aranesp,"Pollens - Grasses, Fescue, Meadow Festuca elatior",351(a),10,Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,1.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101381.0,Aranesp,"Pollens - Grasses, Fescue, Meadow Festuca elatior",351(a),10,Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,2.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101381.0,Aranesp,"Pollens - Grasses, Fescue, Meadow Festuca elatior",351(a),100,Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,3.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101381.0,Aranesp,"Pollens - Grasses, Fescue, Meadow Festuca elatior",351(a),100,Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,4.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101382.0,Aranesp,"Pollens - Grasses, Orchard Grass Dactylis glomerata",351(a),10,Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,1.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101382.0,Aranesp,"Pollens - Grasses, Orchard Grass Dactylis glomerata",351(a),10,Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,2.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101382.0,Aranesp,"Pollens - Grasses, Orchard Grass Dactylis glomerata",351(a),100,Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,3.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101382.0,Aranesp,"Pollens - Grasses, Orchard Grass Dactylis glomerata",351(a),100,Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,4.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101383.0,Aranesp,"Pollens - Grasses, Redtop Agrostis alba",351(a),10,Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,1.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101383.0,Aranesp,"Pollens - Grasses, Redtop Agrostis alba",351(a),10,Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,2.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101383.0,Aranesp,"Pollens - Grasses, Redtop Agrostis alba",351(a),100,Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,3.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101383.0,Aranesp,"Pollens - Grasses, Redtop Agrostis alba",351(a),100,Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,4.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101384.0,Aranesp,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",351(a),10,Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,1.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101384.0,Aranesp,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",351(a),10,Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,2.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101384.0,Aranesp,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",351(a),100,Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,3.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101384.0,Aranesp,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",351(a),100,Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,4.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101385.0,Aranesp,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",351(a),10,Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,1.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101385.0,Aranesp,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",351(a),10,Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,2.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101385.0,Aranesp,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",351(a),100,Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,3.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101385.0,Aranesp,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",351(a),100,Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,4.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101386.0,Aranesp,"Pollens - Grasses, Timothy Phleum pratense",351(a),10,Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,1.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101386.0,Aranesp,"Pollens - Grasses, Timothy Phleum pratense",351(a),10,Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,2.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101386.0,Aranesp,"Pollens - Grasses, Timothy Phleum pratense",351(a),100,Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,3.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101386.0,Aranesp,"Pollens - Grasses, Timothy Phleum pratense",351(a),100,Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,4.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101387.0,Aranesp,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",351(a),1,Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,1.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101387.0,Aranesp,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",351(a),1,Injection,Intradermal,Multi-Dose Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,2.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Allergy Laboratories, Inc.",101387.0,Aranesp,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",351(a),1,Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked, ,0,Original,4.6443908991413725,3.0,CBER,24-Mar-02,Rejected or Not Approved,0
"Takeda Pharmaceuticals U.S.A., Inc.",101447.0,Other,Other,351(a),485,For Injection,Intravenous,Bottle,Disc,Licensed, ,0,Original,7.549082710812286,1.0,CBER,16-Dec-20,Rejected or Not Approved,0
"Takeda Pharmaceuticals U.S.A., Inc.",101447.0,Other,Other,351(a),485,For Injection,Intravenous,Bottle,Disc,Licensed, ,0,Original,7.549082710812286,2.0,CBER,16-Dec-20,Rejected or Not Approved,0
"Takeda Pharmaceuticals U.S.A., Inc.",101447.0,Other,Other,351(a),485,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,1029,Supplement,7.549082710812286,3.0,CBER,16-Dec-20,Approved,1
